passed,total_score,publisher,domain,url,title,publisher_points,intent_points,relevance_points,justification
True,90,gsapp.rutgers.edu,gsapp.rutgers.edu,https://gsapp.rutgers.edu/autism-diagnostic-training,Autism Diagnostic Training Program | Graduate School of Applied and ...,40,30,20,"Passed: university domain, research language (research, training, assessment), autism and video both present"
True,90,Masonic Institute for the Developing Brain,midb.umn.edu,https://midb.umn.edu/training-education/autism-assessment-trainings,Autism Assessment Trainings | Masonic Institute for the Developing Brain,40,30,20,"Passed: university domain, research language (research, training, assessment), autism and video both present"
True,76,IACC,iacc.hhs.gov,https://iacc.hhs.gov/meetings/multimedia/archives/video/,Multimedia - Archived Video | IACC,40,16,20,"Passed: government domain, research language (research, therapist), autism and video both present"
True,68,Autism Toolkit,asd-toolkit.medicine.umich.edu,https://asd-toolkit.medicine.umich.edu/autism-toolkit,TEAM - Autism Toolkit,40,8,20,"Passed: university domain, research language (training), autism and video both present"
True,68,Anschutz Medical Campus,medschool.cuanschutz.edu,https://medschool.cuanschutz.edu/jfk-partners/resources/voices-of-autism-video-library,Voices of Autism Video Library - Anschutz Medical Campus,40,8,20,"Passed: university domain, research language (university), autism and video both present"
True,68,Thompson Center for Autism & Neurodevelopment,thompsoncenter.missouri.edu,https://thompsoncenter.missouri.edu/videos/,Video Library - Thompson Center for Autism & Neurodevelopment,40,8,20,"Passed: university domain, research language (training), autism and video both present"
True,68,Autism Research,airpnetwork.ucla.edu,https://airpnetwork.ucla.edu/events/archived-webinars,View all AIR-P archived events | Autism Research,40,8,20,"Passed: university domain, research language (research), autism and video both present"
True,60,WMU Autism Center of Excellence,wmuace.com,https://wmuace.com/videos/,Autism Training Videos - WMU Autism Center of Excellence,10,30,20,"Passed: general commercial domain, research language (clinical, training, assessment), autism and video both present"
True,56,World Autism Conference,worldautismconference.org,https://worldautismconference.org/videos,Video Streaming Library — World Autism Conference,20,16,20,"Passed: nonprofit domain, organization not independently verified, research language (lab, continuing education), autism and video both present"
True,56,elija.org,elija.org,https://www.elija.org/resources/autismtraining,"Autism Training Videos | ELIJA - Championing Hope, One Child at a Time",20,16,20,"Passed: nonprofit domain, organization not independently verified, research language (training, intervention), autism and video both present"
True,56,Autism Speaks,autismspeaks.org,https://www.autismspeaks.org/parent-training,Parent Training - Autism Speaks,20,16,20,"Passed: nonprofit domain, organization not independently verified, research language (study, training), autism and video both present"
False,74,Global Autism Interactive Network,gain.ku.edu,https://gain.ku.edu/,GAIN - Global Autism Interactive Network,40,24,10,"Held back: autism only, video content not evident, worth a manual check (university domain)"
False,60,Psychiatry,psych.med.umich.edu,https://psych.med.umich.edu/team/,TEAM Video Library - Psychiatry,40,0,20,"Held back: no research or educational language, worth a manual check (university domain)"
False,60,projectaccess.missouristate.edu,projectaccess.missouristate.edu,https://projectaccess.missouristate.edu/Resources/vidlib.htm,Video Library - Autism Resources for Educators - Project ACCESS ...,40,0,20,"Held back: no research or educational language, worth a manual check (university domain)"
False,60,UC Davis MIND Institute,health.ucdavis.edu,https://health.ucdavis.edu/mind-institute/videos/video-dls,Distinguished Lecturer Series Videos | UC Davis MIND Institute,40,0,20,"Held back: no research or educational language, worth a manual check (university domain)"
False,54,Autism Community Training,actcommunity.ca,https://www.actcommunity.ca/education/videos/,Autism Videos @ ACT - ACT - Autism Community Training,10,24,20,"Rejected: scored 54 below 55, general commercial domain"
False,49,Vimeo,vimeo.com,https://vimeo.com/ondemand/autismassessment,Watch Approaching Adult Autism Assessment through a ... - Vimeo,5,24,20,"Rejected: scored 49 below 55, user upload platform, publisher not verifiable from domain"
False,48,Autism BrainNet,autismbrainnet.org,https://www.autismbrainnet.org/video-library/,Video Library - Autism BrainNet,20,8,20,"Rejected: scored 48 below 55, nonprofit domain, organization not independently verified"
False,48,Autism Research Institute,autism.org,https://autism.org/webinar/,Webinars Archive - Autism Research Institute,20,8,20,"Rejected: scored 48 below 55, nonprofit domain, organization not independently verified"
False,48,Seattle Children's,seattlechildrens.org,https://www.seattlechildrens.org/clinics/autism-center/patient-family-resources/videos/,Introduction to Autism Video Series - Seattle Children's,20,8,20,"Rejected: scored 48 below 55, nonprofit domain, organization not independently verified"
False,48,Association for Science in Autism Treatment,asatonline.org,https://asatonline.org/research-treatment/resources/videos/,Videos - Association for Science in Autism Treatment,20,8,20,"Rejected: scored 48 below 55, nonprofit domain, organization not independently verified"
False,48,Autism Research Institute Webinars,autism.org,https://autism.org/webinars/,Autism Research Institute Webinars,20,8,20,"Rejected: scored 48 below 55, nonprofit domain, organization not independently verified"
False,48,Nip in the Bud,nipinthebud.org,https://nipinthebud.org/films-teachers-category/autism/,Autism Videos for Teachers | Nip in the Bud,20,8,20,"Rejected: scored 48 below 55, nonprofit domain, organization not independently verified"
False,46,Children's Mercy,childrensmercy.org,https://www.childrensmercy.org/departments-and-clinics/developmental-and-behavioral-health/autism-clinic/recorded-trainings/,Autism Clinic Recorded Trainings - Children's Mercy,20,16,10,"Held back: autism only, video content not evident, worth a manual check (nonprofit domain, organization not independently verified)"
False,46,AutismFLIX,autismflix.com,https://autismflix.com/,Expert Autism & ABA Training Videos | AutismFLIX,10,16,20,"Rejected: scored 46 below 55, general commercial domain"
False,46,MDPI,mdpi.com,https://www.mdpi.com/2076-0760/15/6/376,Video Modelling Interventions in Autism Education: A Systematic ... - MDPI,10,16,20,"Rejected: scored 46 below 55, general commercial domain"
False,46,Intellistars,intellistarsaba.com,https://www.intellistarsaba.com/blog/how-to-use-video-modeling-in-aba-therapy,How to Use Video Modeling in ABA Therapy - Intellistars,10,16,20,"Rejected: scored 46 below 55, general commercial domain"
False,46,VUMC,triad.vumc.org,https://triad.vumc.org/diagnostic,Vanderbilt TRIAD Diagnostic Trainings - Autism Screening and ... - VUMC,20,16,10,"Held back: autism only, video content not evident, worth a manual check (nonprofit domain, organization not independently verified)"
False,46,NCBDDD,medbox.iiab.me,http://medbox.iiab.me/modules/en-cdc/www.cdc.gov/ncbddd/actearly/autism/video/index.html,CDC | Videos | Autism Case Training | Learn the Signs. Act Early. | NCBDDD,10,16,20,"Rejected: scored 46 below 55, general commercial domain"
False,45,Google Sites,sites.google.com,https://sites.google.com/odu.edu/ei-video-library?usp=sharing,EI Video Library - Google Sites,10,30,5,"Held back: video only, autism relevance not evident, worth a manual check (general commercial domain)"
False,41,YouTube,youtube.com,https://www.youtube.com/watch?v=7pN6ydLE4EQ,ABA Autism Training - Chapter 1 - The Discrete Trial - YouTube,5,16,20,"Rejected: scored 41 below 55, user upload platform, publisher not verifiable from domain"
False,41,ecpcta.org,ecpcta.org,https://ecpcta.org/video-library/,Video Library | The Early Childhood Personnel Center | Uconn Center for ...,20,16,5,"Held back: video only, autism relevance not evident, worth a manual check (nonprofit domain, organization not independently verified)"
False,41,EI Excellence,eiexcellence.org,https://www.eiexcellence.org/resources/video-library/,Video Library - EI Excellence,20,16,5,"Held back: video only, autism relevance not evident, worth a manual check (nonprofit domain, organization not independently verified)"
False,40,worldautismconference.org,worldautismconference.org,https://worldautismconference.org/vsl/videos/page-1,Video Streaming Library Main Menu | Watch Autism Insights Today — World ...,20,0,20,"Held back: no research or educational language, worth a manual check (nonprofit domain, organization not independently verified)"
False,40,SPARK for Autism,sparkforautism.org,https://sparkforautism.org/video-library/,SPARK Video Library - SPARK for Autism,20,0,20,"Held back: no research or educational language, worth a manual check (nonprofit domain, organization not independently verified)"
False,40,usautism.org,usautism.org,https://usautism.org/,US Autism Association | Providing information and resources for over 25 ...,20,0,20,"Held back: no research or educational language, worth a manual check (nonprofit domain, organization not independently verified)"
